Date,Website,Title,URL
2025-12-25T05:28:03Z,The New York Times,North Korea Unveils the Completed Hull of What It Calls a Nuclear Submarine,https://www.nytimes.com/2025/12/25/world/asia/north-korea-nuclear-submarine.html
2025-12-25T03:22:00Z,CNN,North Korea reveals new images of its first 'nuclear-powered' submarine,https://www.cnn.com/2025/12/24/asia/north-korea-nuclear-powered-submarine-intl-hnk-ml
2025-12-25T09:36:40Z,Sky News,North Korea touts progress on nuclear-powered submarine,https://news.sky.com/story/north-korea-touts-progress-on-nuclear-powered-submarine-13487313
2025-12-25T02:33:00Z,Reuters,"North Korea's Kim Jong Un views submarine construction, oversees missile launch, KCNA says",https://www.reuters.com/world/asia-pacific/north-koreas-kim-jong-un-oversees-test-firing-long-range-missile-building-2025-12-24/
2025-12-25T02:36:00Z,AP News,Photos of Christmas celebrations around the world,https://apnews.com/photo-gallery/christmas-photo-gallery-global-08acf32426539d963d9f2b780639bf91
2025-12-25T04:23:56Z,BBC,Waterskiing Santas and giant cuts of meat: Christmas around the world,https://www.bbc.com/news/articles/ce8nep787pyo
2025-12-24T21:01:00Z,CBS News,Photos of ways Christmas is celebrated all around the world,https://www.cbsnews.com/news/photos-christmas-world-celebrations-2025/
2025-12-25T08:26:52Z,Sky News,Christmas latest | Celebrations under way in UK - as King and Royal Family prepare for Sandringham service,https://news.sky.com/story/christmas-latest-celebrations-under-way-in-uk-as-king-and-royal-family-prepare-for-sandringham-service-13456487
2025-12-25T00:01:00Z,Reuters,"Blast hits mosque during evening prayers in Nigeria's Maiduguri, witness says",https://www.reuters.com/world/blast-hits-mosque-during-evening-prayers-nigerias-maiduguri-witness-2025-12-24/
2025-12-25T00:19:53Z,BBC,Five killed in explosion in packed Nigerian mosque,https://www.bbc.com/news/articles/c0je3v3en01o
2025-12-25T09:44:49Z,CBS News,"Blast at Nigeria mosque kills 5, injures 35 in apparent suicide attack",https://www.cbsnews.com/news/nigeria-mosque-explosion-kills-5-injures-more-apparent-suicide-attack/
2025-12-25T02:16:46Z,DW,Nigeria: Explosion rocks Borno mosque during evening prayers,https://www.dw.com/en/nigeria-explosion-rocks-borno-mosque-during-evening-prayers/a-75297926
2025-12-24T23:30:01Z,KSL.com,"Pope Leo, on Christmas Eve, says denying help to poor is rejecting God",https://www.ksl.com/article/51423494/pope-leo-on-christmas-eve-says-denying-help-to-poor-is-rejecting-god
2025-12-24T22:18:00Z,The Guardian,Pope Leo calls for kindness to strangers and the poor in Christmas message,https://www.theguardian.com/world/2025/dec/24/pope-leo-christmas-message-kindness-strangers-poor
2025-12-25T09:48:17Z,Vatican News,"Pope Leo: Since the Word was made flesh, humanity speaks",https://www.vaticannews.va/en/pope/news/2025-12/pope-leo-since-the-word-was-made-flesh-humanity-speaks.html
2025-12-25T07:42:47Z,The New York Times,Pope Leo Surprises St. Peter's Crowd Before Christmas Eve Mass,https://www.nytimes.com/2025/12/25/us/pope-leo-surprises-st-peters-crowd-before-christmas-eve-mass.html
2025-12-24T14:45:00Z,CBS News,"Thousands attend Christmas tree lighting ceremony in Bethlehem, the first since war in Gaza began",https://www.cbsnews.com/news/bethlehem-christmas-tree-lighting-ceremony/
2025-12-25T09:23:21Z,Al Jazeera,'No true sense of celebration' as Israeli bombs drown out Christmas in Gaza,https://www.aljazeera.com/news/liveblog/2025/12/25/live-sound-of-israels-bombs-drone-hums-drown-out-christmas-in-gaza
2025-12-24T23:40:39Z,PBS,Palestinians mark Christmas in Bethlehem while navigating life during conflict,https://www.pbs.org/newshour/show/palestinians-mark-christmas-in-bethlehem-while-navigating-life-during-conflict
2025-12-24T17:00:00Z,The Washington Post,"Gaza's Christians, battered by war, celebrate first Christmas in 3 years",https://www.washingtonpost.com/world/2025/12/24/gaza-christians-celebrate-christmas/
2025-12-25T08:53:00Z,AP News,Saudi Arabia calls on Yemen separatists to leave 2 governorates as anti-Houthi coalition strains,https://apnews.com/article/yemen-separatists-houthis-war-saudi-arabia-uae-2e25b990a91b5eae67a47ded687d1d65
2025-12-25T08:27:41Z,Al Jazeera,Saudi Arabia demands Yemeni separatists leave seized governorates,https://www.aljazeera.com/news/2025/12/25/saudi-arabia-demands-yemeni-separatists-leave-seized-governorates
2025-12-23T02:39:26Z,The Washington Institute,Yemen's Seismic Shift Has Consequences Beyond Its Borders,https://www.washingtoninstitute.org/policy-analysis/yemens-seismic-shift-has-consequences-beyond-its-borders
2025-12-25T05:58:00Z,Reuters,Saudi Arabia says Yemen group should withdraw its forces from seized provinces,https://www.reuters.com/world/middle-east/saudi-arabia-says-yemen-group-should-withdraw-its-forces-seized-provinces-2025-12-25/
2025-12-24T12:35:48Z,Financial Times,Libyan army chief killed in Turkey plane crash,https://www.ft.com/content/17de40a6-3f0d-424b-8c40-e61364840eca
2025-12-24T14:13:26Z,The Washington Post,"Libya's military chief, other officials among 8 dead in Turkey plane crash",https://www.washingtonpost.com/world/2025/12/24/libya-army-chief-plane-crash-ankara-turkey/
2025-12-24T12:45:51Z,Al Jazeera,Libyan army chief killed in plane crash: What we know so far,https://www.aljazeera.com/news/2025/12/24/libyan-army-chief-killed-in-plane-crash-what-we-know-so-far
2025-12-23T19:48:45Z,ABC News,"Contact is lost with a private jet heading for Libya after takeoff from Turkey, official says",https://abcnews.go.com/International/wireStory/contact-lost-private-jet-heading-libya-after-takeoff-128658502
2025-12-24T21:39:58Z,The New York Times,Australian State Passes 'Extraordinary' Gun and Protest Laws After Bondi Attack,https://www.nytimes.com/2025/12/24/world/australia/nsw-gun-protest-laws.html
2025-12-25T04:07:33Z,Australian Broadcasting Corporation,Public assemblies banned for 14 days across Sydney as police enact new laws,https://www.abc.net.au/news/2025-12-25/public-assemblies-banned-14-days-in-sydney-under-new-protest-law/106178406
2025-12-23T07:23:00Z,The Guardian,"What does 'globalise the intifada' mean, and why does NSW want to ban the chant?",https://www.theguardian.com/australia-news/2025/dec/23/globalise-the-intifada-meaning-translation-palestinian-protest-chant-ban-nsw
2025-12-24T07:48:00Z,Reuters,"Australian state passes tougher gun, protest law after Bondi Beach shooting",https://www.reuters.com/world/asia-pacific/australian-state-passes-tougher-gun-anti-terror-laws-after-bondi-beach-shooting-2025-12-23/
2025-12-24T01:17:04Z,ABC News,"Iran and US reaffirm commitment to diplomacy at UN, but gap on a nuclear deal remains wide",https://abcnews.go.com/US/wireStory/iran-us-reaffirm-commitment-diplomacy-gap-nuclear-deal-128666369
2025-12-23T19:09:40Z,UN News,"Security Council remains divided over Iran nuclear programme, sanctions stay in place",https://news.un.org/en/story/2025/12/1166660
2025-12-23T22:02:20Z,Reuters,"US, Iran spar over nuclear talks at UN",https://www.reuters.com/world/middle-east/us-iran-spar-over-nuclear-talks-un-2025-12-23/
2025-12-24T18:40:48Z,Tehran Times,UNSC session shows West failed in snapback gamble,https://www.tehrantimes.com/news/522080/UNSC-session-shows-West-failed-in-snapback-gamble
2025-12-24T18:31:22Z,Reuters,Thai and Cambodia militaries hold talks on resuming ceasefire,https://www.reuters.com/world/china/thai-cambodia-militaries-hold-talks-resuming-ceasefire-2025-12-24/
2025-12-24T12:55:00Z,The Guardian,Thailand and Cambodia begin talks to end deadly clashes after venue row,https://www.theguardian.com/world/2025/dec/24/thailand-and-cambodia-begin-talks-to-end-deadly-clashes-after-venue-row
2025-12-22T09:17:55Z,BBC,"Thailand, Cambodia agree to talks in bid to end deadly conflict - minister",https://www.bbc.com/news/articles/c5ydej888n9o
2025-12-24T13:31:05Z,Al Jazeera,"New clashes as Cambodia, Thailand hold first talks to end latest violence",https://www.aljazeera.com/news/2025/12/24/new-clashes-as-cambodia-thailand-hold-first-talks-to-end-latest-violence
2025-12-24T08:31:15Z,CBS News,3 die in explosion in area of Moscow where car bomb killed a general Monday,https://www.cbsnews.com/news/moscow-explosion-3-die-near-where-car-bomb-killed-general/
2025-12-24T10:28:06Z,The New York Times,Blast Kills Three in Moscow Near Site of General's Car Bombing,https://www.nytimes.com/2025/12/24/world/europe/moscow-bomb-blast-police-officers.html
2025-12-24T06:16:00Z,The Guardian,"Three killed in Moscow car explosion, say Russian authorities",https://www.theguardian.com/world/2025/dec/24/three-killed-in-moscow-car-explosion-say-russian-authorities
2025-12-24T09:28:25Z,CNN,"Bomb blast in Moscow kills two police officers, days after apparent assassination of general",https://www.cnn.com/2025/12/24/europe/moscow-bomb-police-officers-intl
2025-12-24T16:51:00Z,The Kyiv Independent,"'May he perish,' - Zelensky voices Ukrainians' wish in his Christmas Eve address",https://kyivindependent.com/may-he-perish-zelensky-voices-ukrainians-wish-in-his-christmas-eve-address/
2025-12-24T22:05:00Z,The Times,Zelensky appears to wish for Putin's death in Christmas Eve speech,https://www.thetimes.com/world/russia-ukraine-war/article/zelensky-hints-at-demilitarised-zones-in-latest-peace-proposal-r9wxz855t
2025-12-25T08:22:00Z,The Telegraph,Zelensky 'wishes for Putin to die' during Christmas address,https://www.telegraph.co.uk/world-news/2025/12/25/zelensky-wishes-putin-die-ukraine-christmas-address/
2025-12-24T16:42:00Z,Ukrinform,Zelensky's Christmas message to Ukrainians: Russia can't occupy our unity,https://www.ukrinform.net/rubric-society/4073173-zelenskys-christmas-message-to-ukrainians-russia-cant-occupy-our-unity.html
2025-12-25T02:08:00Z,CNN,Israel's approval of new West Bank settlements condemned by 13 European countries and Japan,https://www.cnn.com/2025/12/24/middleeast/israel-palestinians-west-bank-hnk-intl
2025-12-24T19:03:00Z,The Guardian,"UK, Canada and Germany condemn Israel for 19 new West Bank settlements",https://www.theguardian.com/world/2025/dec/24/israel-condemned-approval-19-settlements-occupied-west-bank
2025-12-24T22:05:39Z,Reuters,"UK, Canada, Germany and others condemn Israel's West Bank settlement plan",https://www.reuters.com/world/americas/uk-canada-germany-others-condemn-israels-west-bank-settlement-plan-2025-12-24/
2025-12-25T03:23:51Z,Al Jazeera,"European nations, Canada decry Israel's new, illegal West Bank settlements",https://www.aljazeera.com/news/2025/12/25/european-nations-canada-decry-israels-new-illegal-west-bank-settlements
2025-12-24T15:08:00Z,The Guardian,Israel strikes southern Lebanon as deadline to disarm Hezbollah nears,https://www.theguardian.com/world/2025/dec/24/israel-strikes-southern-lebanon-as-deadline-to-disarm-hezbollah-nears
2025-12-25T06:58:00Z,ABC News,Israel-Gaza live updates: IDF reports 2 new strikes in Lebanon,https://abcnews.go.com/International/live-updates/israel-gaza-live-updates-idf-strike-kills-1/?id=128612306
2025-12-23T15:15:30Z,Reuters,Lebanon denies any army link to Hezbollah after Israeli strike,https://www.reuters.com/business/aerospace-defense/lebanon-denies-any-army-link-hezbollah-after-israeli-strike-2025-12-23/
2025-12-22T15:49:07Z,Al Jazeera,At least three killed in Israeli attack on southern Lebanon's Sidon,https://www.aljazeera.com/news/2025/12/22/at-least-three-killed-in-israeli-attack-on-southern-lebanons-sidon
2025-12-23T15:58:23Z,CNN,"'Massive' Russian attack on Ukraine kills 4-year-old child, as Zelensky is briefed on peace talks",https://www.cnn.com/2025/12/23/europe/russian-attack-zelensky-ukraine-talks-intl
2025-12-24T05:26:06Z,Institute for the Study of War,"Russian Offensive Campaign Assessment, December 23, 2025",https://understandingwar.org/research/russia-ukraine/russian-offensive-campaign-assessment-december-23-2025/
2025-12-25T08:15:00Z,ABC News,Ukraine reports deadly Russian drone strikes into Christmas morning,https://abcnews.go.com/International/ukraine-reports-deadly-russian-drone-strikes-christmas-morning/story?id=128690492
2025-12-23T18:38:44Z,Al Jazeera,Russia-Ukraine war updates: Darkness in Ukraine after latest Russian attack,https://www.aljazeera.com/news/liveblog/2025/12/23/russia-ukraine-war-live-2
2025-12-24T21:25:18Z,ABC News,Princess Charlotte joins Princess Kate for royal duet in carol special,https://abcnews.go.com/GMA/Culture/princess-charlotte-joins-princess-kate-royal-duet-carol/story?id=128683821
2025-12-24T21:23:23Z,CNN,"Catherine, Princess of Wales, and Princess Charlotte perform piano duet for Christmas carol service",https://www.cnn.com/2025/12/24/uk/princess-wales-charlotte-christmas-piano-duet-intl-latam
2025-12-25T07:04:47Z,BBC,Catherine and Charlotte perform piano duet for Christmas carol concert,https://www.bbc.com/news/articles/c2ep0pz8emjo
2025-12-24T20:27:54Z,People.com,Kate Middleton and Princess Charlotte Play a Surprise 'Special Duet' at Her Annual Christmas Carol Service,https://people.com/kate-middleton-princess-charlotte-play-special-duet-together-at-christmas-carol-service-11875808
2025-12-24T16:49:29Z,France 24,"Algerian parliament brands French colonisation a crime, demands apology and reparations",https://www.france24.com/en/africa/20251224-algerian-parliament-brands-french-colonisation-state-crime-demands-apology-reparations
2025-12-24T17:37:07Z,BBC,Algeria's parliament approves law declaring France's colonisation a crime,https://www.bbc.com/news/articles/c14vdpyj1vjo
2025-12-24T17:49:50Z,Al Jazeera,Algeria declares France's colonial rule a crime in new law,https://www.aljazeera.com/news/2025/12/24/algeria-declares-frances-colonial-rule-a-crime-in-new-law
2025-12-24T14:57:00Z,The Guardian,Algeria passes law declaring French colonisation a crime,https://www.theguardian.com/world/2025/dec/24/algeria-passes-law-declaring-french-colonisation-crime
2025-12-24T21:03:35Z,Financial Times,Democratic senators urge Trump to halt mass recall of ambassadors,https://www.ft.com/content/ffe6a612-dc55-4643-8d0a-04e5f805a812
2025-12-23T03:40:21Z,The New York Times,Trump Administration Orders Nearly 30 U.S. Ambassadors to Leave Their Posts,https://www.nytimes.com/2025/12/22/us/politics/trump-administration-ambassadors-posts.html
2025-12-23T06:32:00Z,The Washington Post,Trump administration abruptly recalls over two dozen career ambassadors,https://www.washingtonpost.com/national-security/2025/12/22/trump-ambassadors-recalled/
2025-12-24T06:01:00Z,Reuters,Trump's recall of ambassadors compounds staffing problems at posts in Africa,https://www.reuters.com/world/africa/trumps-recall-ambassadors-compounds-staffing-problems-posts-africa-2025-12-24/
2025-12-24T22:16:46Z,CNN,Iran refuses inspection of nuclear sites until IAEA provides new guidelines after bombing,https://www.cnn.com/2025/12/24/middleeast/iran-refuses-iaea-inspection-of-nuclear-sites-intl-latam
2025-12-24T15:22:03Z,Al Jazeera,Iran rejects inspections of bombed nuclear sites without IAEA framework,https://www.aljazeera.com/news/2025/12/24/iran-rejects-inspections-of-bombed-nuclear-sites-without-iaea-framework
2025-12-24T22:25:49Z,https://debuglies.com,Operation Decisive Punishment: Mapping the Iranian 'Saturation Salvo' and the Terminal 2026 Nuclear Sprint,https://debuglies.com/2025/12/24/operation-decisive-punishment-mapping-the-iranian-saturation-salvo-and-the-terminal-2026-nuclear-sprint/
2025-12-24T20:14:19Z,Iran Focus,Head Of Atomic Energy Organization of Iranian Regime: Grossi Is 'Part of the Enemy',https://iranfocus.com/nuclear/56467-head-of-atomic-energy-organization-of-iranian-regime-grossi-is-part-of-the-enemy/
2025-12-24T12:21:00Z,The Guardian,Myanmar's first election since the 2021 coup: everything you need to know,https://www.theguardian.com/world/2025/dec/24/myanmars-first-election-since-the-2021-coup-everything-you-need-to-know
2025-12-25T05:01:08Z,The New York Times,"Why China, a One-Party State, Is Backing Elections in This Country",https://www.nytimes.com/2025/12/25/world/asia/china-myanmar-election.html
2025-12-24T09:10:43Z,Reuters,Explainer: Why is Myanmar's junta holding an election during a civil war?,https://www.reuters.com/world/asia-pacific/why-is-myanmars-junta-holding-an-election-during-civil-war-2025-12-24/
2025-12-24T16:38:41Z,The Economist,A sham poll in Myanmar opens a new phase of military rule,https://www.economist.com/asia/2025/12/24/a-sham-poll-in-myanmar-opens-a-new-phase-of-military-rule
2025-12-23T21:22:38Z,Ars Technica,China just carried out its second reusable launch attempt in three weeks,https://arstechnica.com/space/2025/12/china-just-carried-out-its-second-reusable-launch-attempt-in-three-weeks/
2025-12-24T14:51:37Z,Reuters,China's LandSpace hopes to complete rocket recovery in mid-2026,https://www.reuters.com/business/aerospace-defense/chinas-landspace-hopes-complete-rocket-recovery-mid-2026-2025-12-24/
2025-12-23T13:15:08Z,South China Morning Post,"China's reusable rocket recovery fails, US blacklists DJI: SCMP daily highlights",https://www.scmp.com/news/china/article/3337528/chinas-reusable-rocket-ambitions-suffer-setback-us-blacklists-dji-scmp-daily-highlights
2025-12-23T08:30:57Z,Bloomberg.com,Another Chinese Reusable Rocket Mission Fails Within Weeks,https://www.bloomberg.com/news/articles/2025-12-23/another-chinese-reusable-rocket-mission-fails-within-weeks
2025-12-24T07:24:57Z,Kyiv Post,Ukraine Unveils Details of Unprecedented Novorossiysk Underwater Drone Strike,https://www.kyivpost.com/post/66839
2025-12-24T05:05:00Z,Business Insider,Ukraine explains how it used a drone with an airburst warhead to set up its bold strike on a Russian submarine,https://www.businessinsider.com/ukraine-airburst-warhead-drone-black-sea-russian-sea-dragon-submarine-2025-12
2025-12-23T19:35:00Z,Ukrinform,Submarine sabotage: SSU reveals new details of special operation in Novorossiysk,https://www.ukrinform.net/rubric-ato/4072836-submarine-sabotage-ssu-reveals-new-details-of-special-operation-in-novorossiysk.html
2025-12-23T19:42:55Z,The National Interest,Ukraine's Underwater Drone Cripples a Russian Submarine,https://nationalinterest.org/blog/buzz/ukraines-underwater-drone-cripples-a-russian-submarine-sa-122325
2025-12-25T00:44:00Z,Reuters,"Russian air defence downs 25 Moscow-bound Ukrainian drones, mayor says",https://www.reuters.com/world/ukraine-drone-attacks-target-moscow-night-spark-industrial-fire-tula-russia-says-2025-12-24/
2025-12-24T11:26:15Z,ABC News,"Ukrainian drones attack Moscow, Russia says, as Zelenskyy says Kyiv ready for deal",https://abcnews.go.com/International/ukrainian-drones-attack-moscow-russia-zelenskyy-kyiv-ready/story?id=128672959
2025-12-24T01:31:00Z,Reuters,"Russia's air defence units destroy drone flying towards Moscow, mayor says",https://www.reuters.com/world/russias-air-defence-units-destroy-drone-flying-towards-moscow-mayor-says-2025-12-24/
2025-12-24T20:53:01Z,The Kyiv Independent,Russian officials claim 16 drones headed for Moscow were downed on Christmas Eve,https://kyivindependent.com/russian-officials-claim-16-drones-headed-for-moscow-were-downed-on-christmas-eve/
2025-12-23T19:09:21Z,CNN,Yemen's warring parties agree on biggest prisoner exchange deal so far,https://www.cnn.com/2025/12/23/middleeast/yemen-parties-agree-prisoner-exchange-deal-intl-latam
2025-12-23T20:09:00Z,AP News,"Yemen's sides agree to release 2,900 detainees in war's largest exchange",https://apnews.com/article/yemen-prisoners-release-war-houthis-7523c53ce1aff283866d10e9f38e5246
2025-12-23T15:52:08Z,The New York Times,Yemen's Warring Sides Agree to Largest Prisoner Swap in a Decade of Fighting,https://www.nytimes.com/2025/12/23/world/middleeast/yemen-houthis-prisoner-exchange.html
2025-12-23T13:52:30Z,Al Jazeera,"Yemen's government, Houthis agree to exchange thousands of prisoners",https://www.aljazeera.com/news/2025/12/23/yemen-government-houthis-agree-to-exchange-thousands-of-prisoners
2025-12-24T21:31:37Z,BBC,Eleven arrested over mass shooting in South Africa tavern,https://www.bbc.com/news/articles/c75v0kwy017o
2025-12-24T17:30:20Z,ABC News,South African police continue arrests after mass shooting at a pub,https://abcnews.go.com/International/wireStory/south-african-police-continue-arrests-after-mass-shooting-128681794
2025-12-21T05:26:49Z,CNN,"Manhunt underway in South Africa after 9 people killed in shooting, police say",https://www.cnn.com/2025/12/21/africa/manhunt-south-africa-deadly-shooting-intl-hnk
2025-12-23T14:51:00Z,AP News,Death toll in South Africa's latest pub shooting rises to 10,https://apnews.com/article/south-africa-mass-shooting-pub-death-toll-60ab3f05a9193b19c3b6dd2e609b5964
2025-12-23T23:34:35Z,BBC,Crisis in India-Bangladesh relations spirals amid violent protests,https://www.bbc.com/news/articles/c4gekjjqn1ro
2025-12-24T11:58:00Z,The Indian Express,"Bangladesh summons Indian High Commissioner Pranay Verma, expresses 'deep concern over violent protests' outside missions",https://indianexpress.com/article/world/bangladesh-summons-indian-high-commissioner-pranay-verma-expresses-deep-concern-over-violent-protests-outside-missions-10434642/
2025-12-23T16:56:43Z,Eurasia Review,Sharif Osman Hadi's Death: Bangladesh-India At A Crossroads - OpEd,https://www.eurasiareview.com/23122025-sharif-osman-hadis-death-bangladesh-india-at-a-crossroads-oped/
2025-12-23T14:31:02Z,The Quint,'We Were Hoping India Will Accept...': Voices From Bangladesh Amid Fresh Turmoil,https://www.thequint.com/news/world/bangladesh-violence-anti-india-sentiment-ground-report
2025-12-24T16:25:00Z,USNI News,"China Wants Nine Aircraft Carriers by 2035, Says New Pentagon Report",https://news.usni.org/2025/12/24/china-wants-nine-aircraft-carriers-by-2035-says-new-pentagon-report
2025-12-24T18:33:45Z,The War Zone,Chinese Fighter Jet Exports Set To Grow Significantly,https://www.twz.com/air/chinese-fighter-jet-exports-set-to-grow-significantly
2025-12-24T08:52:00Z,Newsweek,China Plans To Build Six Aircraft Carriers in 10 Years: Pentagon,https://www.newsweek.com/china-plans-build-six-aircraft-carriers-ten-years-pentagon-11264212
2025-12-23T12:27:52Z,RealClearDefense,China's New Super J-36 'NGAD' Stealth Fighters Are Coming,https://www.realcleardefense.com/2025/12/23/chinas_new_super_j-36_ngad_stealth_fighters_are_coming_1155006.html
2025-12-24T00:58:00Z,CNBC,Asia's year in review: Who had it best - and who had it worst - in 2025,https://www.cnbc.com/2025/12/24/asias-year-in-review-who-had-it-best-and-who-had-it-worst-in-2025.html
2025-12-23T06:08:11Z,The Diplomat - Asia-Pacific Current Affairs Magazine,The Pacific Money Blog: 2025 Year in Review,https://thediplomat.com/2025/12/the-pacific-money-blog-2025-year-in-review/
2025-12-23T13:27:31Z,China Military,"Peace, development remain Asia-Pacific's shared aspirations amid security challenges",http://eng.chinamil.com.cn/2025xb/O_251451/16428793.html
2025-12-24T12:49:17Z,news.cgtn.com,Watch: Shifting Currents - 2025 in review with Kishore Mahbubani,https://news.cgtn.com/news/2025-12-24/Watch-Shifting-Currents-2025-in-review-with-Kishore-Mahbubani-1JmXhf3AOTS/p.html
2025-12-23T17:29:09Z,BBC,Government waters down farm inheritance tax plan,https://abcnews.go.com/International/wireStory/guineas-junta-leader-expected-win-election-2021-coup-128674397
2025-12-24T22:10:00Z,The Times,Record farm closures in run-up to inheritance tax U-turn,https://www.nbcnews.com/world/africa/kenyans-protest-roaming-elephants-kill-4-people-week-rcna250865
2025-12-24T10:26:37Z,BBC,Starmer backs down in farm tax row - but why now?,https://www.bbc.com/news/articles/c8e9n3y28g1o
2025-12-24T10:41:00Z,The Guardian,"U-turn on inheritance tax for farmers 'snuck out' to avoid scrutiny, say Tories",https://www.theguardian.com/politics/2025/dec/24/u-turn-inheritance-tax-farmers-snuck-out-avoid-scrutiny-victoria-atkins
2025-12-24T12:02:00Z,The Times of Israel,How extremist settlers coordinate organized violence to expel Palestinians,https://www.timesofisrael.com/how-extremist-settlers-coordinate-organized-violence-to-expel-palestinians/
2025-12-25T01:11:00Z,Reuters,How Israel's hilltop settlers coordinate attacks to expel Palestinians,https://www.reuters.com/world/middle-east/how-israels-hilltop-settlers-coordinate-attacks-expel-palestinians-2025-12-24/
